Name,Forcefield,Lipid,Software,Files
Wu2014_P5-OH_PWI5,charmm36,"PWI5 - PIP2[3',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI5.pdb,  PWI5.str"
Wu2014_P3-OH_PII6,charmm36,"PII6 - PIP2[3',4'](16:0/​​18:2(9Z,12Z))",Charmm,"PII6.pdb,  PII6.str"
Wu2014_P4-OH_PII6,charmm36,"PII6 - PIP2[3',4'](16:0/​​18:2(9Z,12Z))",Charmm,"PII6.pdb,  PII6.str"
Wu2014_P4-OH_PII4,charmm36,"PII4 - PIP2[4',5'](10:0/​​​18:2(9Z,12Z))",Charmm,"PII4.pdb,  PII4.str"
Wu2014_P5-OH_PII4,charmm36,"PII4 - PIP2[4',5'](10:0/​​​18:2(9Z,12Z))",Charmm,"PII4.pdb,  PII4.str"
Wu2014_P3-OH_PII5,charmm36,"PII5 - PIP2[3',5'](16:0/​​​18:2(9Z,12Z))",Charmm,"PII5.pdb,  PII5.str"
Wu2014_P5-OH_PII5,charmm36,"PII5 - PIP2[3',5'](16:0/​​​18:2(9Z,12Z))",Charmm,"PII5.pdb,  PII5.str"
Wu2014_P3-OH_POI7,charmm36,"POI7 - PIP3[3',4',5'](16:0/​​18:1(9Z))",Charmm,"POI7.pdb,  POI7.str"
Wu2014_P4-OH_POI7,charmm36,"POI7 - PIP3[3',4',5'](16:0/​​18:1(9Z))",Charmm,"POI7.pdb,  POI7.str"
Wu2014_P5-OH_POI7,charmm36,"POI7 - PIP3[3',4',5'](16:0/​​18:1(9Z))",Charmm,"POI7.pdb,  POI7.str"
Wu2014_P3-OH_SAI7,charmm36,"SAI7 - PIP3[3',4',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI7.pdb,  SAI7.str"
Wu2014_P4-OH_SAI7,charmm36,"SAI7 - PIP3[3',4',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI7.pdb,  SAI7.str"
Wu2014_P5-OH_SAI7,charmm36,"SAI7 - PIP3[3',4',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI7.pdb,  SAI7.str"
Wu2014_P3-OH_DMI7,charmm36,"DMI7 - PIP3[3',4',5'](14:0/​​​14:0)",Charmm,"DMI7.pdb,  DMI7.str"
Wu2014_P4-OH_DMI7,charmm36,"DMI7 - PIP3[3',4',5'](14:0/​​​14:0)",Charmm,"DMI7.pdb,  DMI7.str"
Wu2014_P5-OH_DMI7,charmm36,"DMI7 - PIP3[3',4',5'](14:0/​​​14:0)",Charmm,"DMI7.pdb,  DMI7.str"
